Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName
42,Scrypt,PoW/PoS,41.99995383,42.0,-0.32231553692457354,1.0597739931952022,-0.4805184453197478,0,
404,Scrypt,PoW/PoS,1055184902.0,532000000.0,-0.3056350122039919,1.0599238646565325,-0.4810397038706802,0,
1337,X13,PoW/PoS,29279424623.0,314159000000.0,2.3212886003195767,1.5946536883259845,-0.593474780605935,0,
BTC,SHA-256,PoW,17927175.0,21000000.0,-0.14178141656794163,-1.3702768176266344,0.16052993654455083,1,
ETH,Ethash,PoW,107684222.7,0.0,-0.13881650944878493,-2.1063384712076143,0.30796539933675376,1,
LTC,Scrypt,PoW,63039243.3,84000000.0,-0.16342496698007222,-1.1020837263035554,-0.011021561438714468,1,
DASH,X11,PoW/PoS,9031294.376,22000000.0,-0.38532294496168407,1.2693840047516072,-0.39278671839434626,0,
XMR,CryptoNight-V7,PoW,17201143.14,0.0,-0.1644243175481315,-2.2489427718085304,0.3224583883125849,1,
ETC,Ethash,PoW,113359703.0,210000000.0,-0.13725630310296766,-2.106434012254093,0.3079457059353663,1,
ZEC,Equihash,PoW,7383056.25,21000000.0,-0.13860879723710698,-2.1480501747926968,0.3082868445605692,1,
BTS,SHA-512,PoS,2741570000.0,3600570502.0,-0.37582245337601394,1.5965794801756856,-0.18878027153343463,0,
DGB,Multiple,PoW,11406219141.0,21000000000.0,0.16059129940414726,-1.8534498290953005,0.277634862516822,1,
BTCD,SHA-256,PoW/PoS,1288862.0,22000000.0,-0.2995011320487257,0.7915588374514986,-0.3089948924783162,0,
XPY,SHA-256,PoS,11995334.88,12500000.0,-0.2722173952946806,0.5634233496300498,-0.08511706991605812,0,
PRC,Scrypt,PoW,5768310.0,21000000.0,-0.16457257209159645,-1.1020759878494382,-0.010990487227521916,1,
KOBO,X15,PoW/PoS,25542535.59,350000000.0,-0.22830182961880827,1.8638933442987364,-0.5615973390527096,0,
SPR,X11,PoW,11149734.0,20000000.0,-0.22778789169891853,-0.8924566525518226,0.07674476803786603,1,
ARG,Scrypt,PoW,12205795.44,64000000.0,-0.16418858898381392,-1.10209356461408,-0.010996908832672115,1,
AUR,Scrypt,PoW/PoS,18135099.99,16768584.0,-0.32197472299639757,1.0597730222108401,-0.48052802574186043,0,
BLU,Scrypt,PoW/PoS,635423900.0,0.0,-0.3145449548833679,1.0600132577292836,-0.480806220920967,0,
XMY,Multiple,PoW,1688254250.0,2000000000.0,-0.09313144712737116,-1.848271519142079,0.2835852366208006,1,
MOON,Scrypt,PoW,88.0,384000000000.0,2.5612439963734435,-1.2806797928661966,-0.042296876293720385,1,
ZET,SHA-256,PoW,170204389.8,169795588.0,-0.1388629146454874,-1.3702886885469145,0.16044883953592023,1,
